INPUT:context	INPUT:sentence
В школе задали написать сочинение по литературе на одну из трёх тем. Первая тема была лёгкой, а третья – самой сложной. Почти все в классе выбрали более легкую первую тему. Настя же считает, что она способна написать сочинение на любую тему. Она была единственной из класса, кто выбрал третью тему.	Только Настя выбрала именно третью тему.
Даша, Ваня и Андрей увлекаются астрономией. Они составили список созвездий и пошли ночью на поле искать эти созвездия на небе. В этом списке было одно созвездие, которое не нашел никто, кроме Даши. Это было созвездие Цефея.	Только Даша нашла именно созвездие Цефея.
Федя собирался на праздник, ему нужно было погладить рубашку, брюки и пиджак. Рубашку он погладил сам, а брюки и пиджак ему погладила Ксюша. 	Именно Федя погладил только рубашку.
Учительница физики Марина Алексеевна посмотрела на результаты контрольной и увидела, что одна из задач в контрольной оказалась слишком сложной для учеников. Эту задачу решила только Настя, самая умная ученица в классе. Эта задача была последней в контрольной. 	Только Настя решила именно последнюю задачу.
Даша и Ваня должны были вместе нарисовать плакат для школьной выставки. Но на самом деле, плакат почти полностью делал Ваня. Единственное, что сделала Даша – это нарисовала заголовок. 	Именно Даша нарисовала только заголовок.
Федя, Ксюша и Кирилл приехали к бабушке в деревню и пошли гладить животных – козу, лошадь и корову. Федя испугался коровы и лощади. Едиственным животным, которого он погладил, была коза, а остальные ребята погладили всех троих животных.	Именно Федя погладил только козу.
Оля и Полина терпеть друг друга не могут. Недавно они снова поссорились, и после этого попросили своих друзей не приглашать их в гости вместе. В итоге большинство их общих друзей выбирает приглашать Полину, а не Олю. Но Вика, в отличие от всех, выбрала пригласить на свой день рождения Олю. 	Только Вика пригласила именно Олю.
Мама дала Филиппу и Мише еду в дорогу  – бутерброды, йогурт и яблоко. Ребята должны были поделить еду между собой, но Филипп почти всё съел сам, Мише досталось только яблоко.	Именно Миша съел только яблоко.
Олег не любит читать. На лето в школе его классу задали прочитать «Капитанскую дочку», «Мастера и Маргариту» и «Войну и мир». Олег оказался единственным, кто прочитал всего одну книгу – «Капитанскую дочку». Все его одноклассники прочитали больше одной книги. 	Именно Олег прочитал только «Капитанскую дочку» .
У двух сестер, Оли и Полины, сегодня день рождения. Одну из них сегодня активно поздравляли друзья и родственники, а другую поздравили только родители. Той, кого поздравляли мало, была Оля. 	Только родители поздравила именно Олю.
Миша, Олеся и Филипп пришли обедать. На обед были салат, суп и рис с жареной рыбой. Олеся и Филипп съели все, что было. Миша был не голоден. Кроме салата он ничего не съел.	Именно Миша съел только салат.
Олегу на лето задали прочитать одно из произведений: «Капитанскую дочку», «Мастера и Маргариту» или «Войну и мир». Олег очень любит читать. Большинство его одноклассников выбрали  «Капитанскую дочку» – самую короткую из предложенных книг. Олег оказался единственным, кто выбрал читать  «Войну и мир».	Только Олег прочитал именно «Войну и мир».
Учительница физики подозревает, что Наташа списала у Насти контрольную. Наташа действительно списывала у Насти, но не всё, а только первую задачу, вторую и третью Наташа решила самостоятельно.	Именно Настя решила только первую задачу.
Даша и Ваня несколько часов искали созвездия на ночном небе. Один из них нашел много созвездий, а другой так ничего и не увидел, кроме Большой Медведицы. Тем, кто нашел только Большую Медведицу, был Ваня.	Именно Ваня нашел только Большую Медведицу.
Федя, Ксюша и Кирилл приехали на ферму. Смотритель фермы разрешил им погладить животных, но так, чтобы каждый погладил только одно животное – козу, корову или лошадь. Ксюша и Кирилл решили гладить лошадь. А Федя очень любит коров, он был единственным, кто выбрал гладить корову, а не лошадь.	Только Федя погладил именно корову.
В контрольной по физике было три задачи. Первая задача была самой легкой, последняя – самой сложной. В целом, все справились с контрольной, но классе был один человек, который решил только первую задачу и не смог решить остальные. Это была Настя.	Именно Настя решила только первую задачу.
Даша, Ваня и Антон пошли в зоопарк рисовать животных. Ребята выбирали, кого рисовать – павлина, обезьяну или волка. Ваня и Антон решили рисовать павлина. Даша очень любит обезьян, она была единственной, кто нарисовал обезьяну, а не павлина.	Только Даша рисовала именно обезьяну.
Федя, Ксюша и Кирилл приехали к бабушке в деревню и пошли гладить животных – коз, лошадей и корову . Однако, было одно животное, которое в итоге не захотел гладить никто, кроме Кирилла. Это была коза по имени Маня.	Только Кирилл погладил именно козу Маню.
У Вики сегодня день рождения. Она позвала свою подругу Олю, но Оля пришла не одна – она позвала двоих своих друзей, те позвали своих друзей и так далее. В итоге к Вике домой заявились 20 человек. Но Вика звала к себе только Олю, остальные пришли по приглашению других людей.	Именно Вика пригласила только Олю.
Миша, Аня и Олеся обедали в гостинице. На десерт там можно было выбрать круассан, ватрушку или шоколадное печенье. Аня и Олеся выбрали ватрушку. Миша не очень любит творог, он был единственным, кто выбрал круассан, а не ватрушку.	Только Миша съел именно круассан.
Олег любит читать. На лето его классу задали прочитать одно из произведений на выбор: «Капитанскую дочку», «Мастера и Маргариту» или «Войну и мир». Большинство людей выбрали читать «Капитанскую дочку», некоторые выбрали «Мастера и Маргариту», Олег был единственным из класса, кто выбрал читать «Войну и мир».	Только Олег прочитал именно «Войну и мир».
У двух сестёр, Оли и Полины, сегодня день рождения. Все, кто поздравлял одну из девочек, поздравлял и другую тоже. Но был один человек, который поздравил Олю, но не поздравил Полину. Это была Вика.	Именно Вика поздравила только Олю.
Миша, Алёна и Олеся пришли обедать к родственниками. На обед были салат, суп и картофельная запеканка. В целом, всё было очень вкусно, но было одно блюдо, которое ел только Миша, а девочки не ели. Это была запеканка. 	Только Миша съел именно картофельную запеканку.
В школе Олегу задали законспектировать три главы учебника по Истории России. Самостоятельно он законспектировал только одну главу, а конспекты для других двух глав, он списал у одноклассников. 	Именно Олег законспектировал только одну главу.
