INPUT:context	INPUT:sentence
В школе дали три темы сочинения по литературе. Первая тема была лёгкой, а вторая и третья – были очень сложными. Почти все в классе выбрали более легкую первую тему. Настя тоже решила выбрать её, хотя она легко пишет сочинения на любые темы.	Именно первую тему выбрала даже Настя.
Даша, Ваня и Антон пошли в зоопарк рисовать животных. Ребята выбирали, кого рисовать – павлина, обезьяну или волка. Даша и Антон выбрали рисовать павлина. Ваня очень придирчив к тому, что он собирается рисовать. Сначала он не хотел рисовать с ребятами павлина, но потом его покорил вид этой птицы, и он тоже захотел её нарисовать.	Именно павлина рисовал даже Ваня.
Федя и Кирилл приехали на ферму. Во дворе гуляли коза, лошадь и корова. Работник фермы разрешил ребятам погладить животных, но так, чтобы каждое животное погладил только один человек. Федя быстро погладил корову и лошадь. Кирилл очень надеялся, что ему удастся погладить хотя бы козу, но пока он медлил и думал, как подойти к козе,  Федя снова его опередил. Филипп погладил козу, а Кириллу ничего не досталось. 	Даже козу погладил именно Федя.
На контрольной по физике было три задачи. Первая задача была самой лёгкой, а последняя – самой сложной. Посмотрев на результаты, учительница физики посчитала, что в дальнейшем первую задачу стоит убрать из этой контрольной. Эта задача была слишком лёгкой – её решили все, в том числе Настя, самая слабая ученица в классе.	Именно первую задачу решила даже Настя.
Даша очень хорошо рисует. Иногда она делает задания по рисованию за своих одноклассников. Недавно в школе организовали небольшую выставку, на которой были представлены рисунки учеников. Выставка была посвящена разным животным  – там были изображения улиток, бобров, волков, слонов и других животных. Все рисунки на этой выставке оказались Дашиными.  	Даже улитку нарисовала именно Даша.
Федя, Ксюша и Кирилл приехали к бабушке в деревню и пошли гладить животных – козу, лошадь и корову. Коза и лошадь были спокойны, ребята без труда их гладили. Корова же очень испугалась ребят. Федя был единственным, кого она к себе подпустила.	Даже корову погладил именно Федя.
Оля и Полина терпеть друг друга не могут. Недавно они снова поссорились, и после этого  попросили своих друзей не звать их в гости вместе. В итоге многие выбирают приглашать Олю, а не Полину. Вика – подруга Полины, но на свой день рождения она тоже пригласила Олю и не пригласила Полину.	Именно Олю пригласила даже Вика.
Мама принесла Филиппу и Мише яблоко, пирожок с капустой и ватрушку, и сказала, чтобы ребята поделили их между собой. Миша съел яблоко и пирожок с капустой. Филипп не  хотел есть, но надеялся, что Миша оставит ему его ватрушку. Миша решил, что Филипп не собирается есть свою часть, и съел ватрушку.	Даже ватрушку съел именно Миша.
Олег любит читать. На лето в школе его классу задали прочитать «Капитанскую дочку», «Мастера и Маргариту» и «Войну и мир». Кроме Олега никто не осилил последнее произведение.	Даже «Войну и мир» прочитал именно Олег.
Оля, Полина и Вика учатся в одном классе. У Оли и Полины сегодня день рождения. Вика часто болеет и мало ходит в школу. Она плохо помнит, когда у кого день рождения. Сегодня Вика поздравила Олю, но забыла о том, что у Полины тоже день рождения.	Именно Олю поздравила даже Вика.
Миша, Олеся и Филипп пришли обедать. На обед были салат, суп и рис с жареной рыбой. Олеся и Филипп наелись супом. Миша был самым голодным. Он съел всё, что было, включая жареную рыбу.	Даже жареную рыбу съел именно Миша.
Олегу на лето задали прочитать одно из произведений: «Капитанскую дочку», «Мастера и Маргариту» или «Войну и мир». Олег очень любит читать. Но, как и большинство его одноклассников, Олег решил выбрать самое короткую из предложенных книг – «Капитанскую дочку».	Именно «Капитанскую дочку» прочитал даже Олег.
Ребята разбирали задачи в классе у доски. Всего было три задачи. Наташа очень хотела ответить, но учительница постоянно спрашивала Настю, а не её. Наташа надеялась, что её вызовут решать хотя бы последнюю задачу, но учительница всё равно вызвала к доске Настю.	Даже первую задачу решила именно Настя.
Даша, Ваня и Антон пошли в зоопарк рисовать животных. Они договорились рисовать животных в таком порядке – сначала волка, потом обезьяну и затем павлина. Ребята поспорили, кто быстрее всего закончит. Победила Даша, она закончила рисовать павлина раньше, чем Ваня и Антон закончили обезьяну.	Даже павлина нарисовала именно Даша.
Федя, Ксюша и Кирилл приехали на ферму. Смотритель фермы разрешил им погладить животных, но так, чтобы каждый погладил только одно животное – козу, корову или лошадь. Федя очень любит коров, но он, как и остальные дети, решил гладить лошадь.	Именно лошадь погладил даже Федя.
