INPUT:context	INPUT:sentence
Насте очень хорошо дается физика. В проверочной работе по физике было три задачи. Первая задача была самой легкой, а последняя – самой сложной. Некоторые ребята (в том числе Настя) смогли решить первую задачу, но со второй и третьей не справился никто.	Только первую задачу решила даже Настя.
Даше 17 лет, она увлекается астрономией. Ване – 10 лет, он ещё ничего не знает об астрономии. Ребята ищут созвездия на небе. Даша нашла уже много созвездий. Из них Большая Медведица – единственное созвездие, которое Ваня тоже смог найти.	Только Большую Медведицу нашёл даже Ваня.
Федя, Ксюша и Кирилл приехали к бабушке в деревню и пошли гладить животных – козу, лошадь и корову. Животные испугались ребят и не давали себя гладить. Но коза все-таки подпустила к себе Федю. Ксюша и Кирилл так и не смогли никого погладить.	Даже козу погладил только Федя.
Сережа, Женя и Илья ходили в свою старую школу. Они встретили там свою бывшую классную руководительницу, учителя физики и библиотекаря. В отличие от Жени и Ильи, тихого Сережу не вспомнил никто кроме классной руководительницы.	Даже Сережу узнала только классная руководительница.
Насте очень тяжело дается физика. В проверочной работе по физике было три задачи. Первая была самой легкой, а последняя – самой сложной. Первая задача была единственной, которую решили все, в том числе Настя.	Только первую задачу решила даже Настя.
Даше 17 лет, она увлекается астрономией. Ване – 10 лет, он ещё ничего не знает об астрономии. Ребята ищут созвездия на небе. Даша уже нашла созвездия Большой Медведицы, Кассиопеи и Цефея, а у Вани совсем ничего не получается увидеть. Даже созвездие Большой Медведицы, самое заметное на небе, он пока не может найти.	Даже Большую медведицу нашла только Даша.
Федя, Ксюша и Кирилл приехали к бабушке в деревню и пошли гладить животных – козу, лошадь и корову. Коза и лошадь были спокойны, ребята без труда их гладили. Корова же очень испугалась ребят. Федя был единственным, кого она к себе подпустила.	Даже корову погладил только Федя.
Сережа, Женя и Илья ходили в свою старую школу. Они встретили там свою бывшую классную руководительницу, учителя физики и библиотекаря. Кроме Сережи, работники школы не вспомнили никого из ребят.	Только Серёжу узнала даже бывшая классная руководительница.
Оля, Полина и Вика учатся в одном классе. У Оли и Полины сегодня день рождения. Олю поздравили многие одноклассники, а Полину никто не поздравил. Вика – близкая подруга Полины. Она, как и все, поздравила Олю, но забыла, что у Полины сегодня тоже праздник.	Только Олю поздравила даже Вика.
Катя - очень забывчивая девочка, она постоянно забывает то дневник, то ластик. На сегодняшний урок геометрии всех ребят попросили принести линейку, транспортир и циркуль. Но никто не принес полный набор. Линейка оказалась единственным из нужных предметов, который принесли все, в том числе Катя.	Только линейку принесла даже Катя.
Миша, Олеся и Филипп пришли обедать. На обед были салат, суп и рис с жареной рыбой. У Олеси и Филиппа совершенно не было аппетита. Они не стали ничего есть. Миша был единственным, кто смог поесть.	Даже салат съел только Миша.
Олег любит читать. На лето в школе его классу задали прочитать «Капитанскую дочку», «Мастера и Маргариту» и «Войну и мир». Кроме Олега никто не осилил последнее произведение.	Даже «Войну и мир» прочитал только Олег.
Оля, Полина и Вика учатся в одном классе. У Оли и Полины сегодня день рождения. Вика часто болеет и мало ходит в школу. Она плохо помнит, когда у кого день рождения. Сегодня Вика поздравила Олю, но забыла о том, что у Полины тоже день рождения.	Только Олю поздравила даже Вика.
На сегодняшний урок геометрии всех попросили принести линейку, транспортир и циркуль. Но кроме Кати, никто ничего не принес.	Даже линейку принесла только Катя.
Миша, Олеся и Филипп пришли обедать. На обед были салат, суп и рис с жареной рыбой. Олеся и Филипп наелись супом. Миша был самым голодным. Он съел всё, что было, включая жареную рыбу.	Даже жареную рыбу съел только Миша.
Олегу на лето задали прочитать «Капитанскую дочку» и «Войну и мир». Олег очень любит читать. Он прочитал «Капитанскую дочку», но, как и большинство его одноклассников, не смог осилить «Войну и мир».	Только «Капитанскую дочку» прочитал даже Олег.
